h3,places
892696a9513ffff,6
892696ab34fffff,5
892696a95b7ffff,1
892696ab337ffff,12
892696a8233ffff,6
892696a805bffff,16
892696a8073ffff,1
892696a8147ffff,2
892696ab3bbffff,14
892696ab1d3ffff,1
892696ab0cbffff,51
892696ab093ffff,8
892696ab52bffff,6
89269616e6fffff,1
8926961686bffff,1
89269616973ffff,1
892696161a7ffff,1
892696b924bffff,28
892696b9253ffff,29
892696b9357ffff,1
892696b980fffff,1
892696b93b3ffff,1
892696065cfffff,1
892696ab62bffff,170
892696ab6c7ffff,9
89269616ba7ffff,4
89269614023ffff,1
89269602bafffff,1
89269607413ffff,1
8926961586bffff,1
89269606647ffff,2
89269606603ffff,1
89269606613ffff,1
892696064cbffff,3
89269614a0fffff,3
892696158cfffff,1
89269615c63ffff,1
89269615c8fffff,1
8926961426bffff,3
89269615cafffff,1
89269615d13ffff,2
89269614a13ffff,5
89269614a9bffff,6
89269614e4fffff,2
89269614e6bffff,2
89269614e67ffff,9
89269614e0fffff,2
892696143dbffff,2
892696143cbffff,1
892696064b7ffff,4
89269614a23ffff,8
89269614a33ffff,2
89269614aafffff,3
89269614b77ffff,12
89269614b23ffff,26
89269614b93ffff,8
89269614947ffff,3
892696a900fffff,15
892696a9017ffff,25
892696a9467ffff,12
892696a96c7ffff,8
892696a9687ffff,3
8926961490fffff,3
892696149a3ffff,14
892696a9457ffff,5
892696a940fffff,32
892696a943bffff,36
892696a9437ffff,4
892696a9407ffff,33
892696ab26fffff,30
892696ab35bffff,6
89269614873ffff,8
892696148d3ffff,3
892696148b7ffff,3
89269614c13ffff,15
89269616b4fffff,6
89269616b57ffff,15
892696ab253ffff,16
892696ab27bffff,17
892696ab21bffff,30
892696ab277ffff,12
892696ab23bffff,26
892696ab2bbffff,64
892696ab667ffff,14
89269616b77ffff,3
892696a824fffff,1
892696a9537ffff,1
892696a82c7ffff,1
892696a95cfffff,1
892696a951bffff,1
892696a95c3ffff,3
892696ab32fffff,57
892696a864fffff,24
892696a865bffff,81
892696ab3afffff,11
892696a8287ffff,3
892696a800bffff,3
892696a8143ffff,43
892696a8447ffff,1
892696a808fffff,12
892696a85cbffff,1
892696ab077ffff,4
892696ab637ffff,39
892696ab0cfffff,51
892696ab0dbffff,56
892696ab447ffff,4
892696ab477ffff,5
892696ab543ffff,11
892696ab437ffff,1
892696aa25bffff,21
892696ab537ffff,6
892696ab5afffff,2
892696ab58fffff,10
89269616b5bffff,1
89269616aafffff,4
89269616a17ffff,2
89269616e3bffff,1
89269616ed7ffff,1
89269616e8fffff,1
89269616b9bffff,3
89269616b8fffff,3
8926961680fffff,1
892696168c7ffff,1
892696b934fffff,1
892696b93cfffff,1
892696b9317ffff,1
892696b9d73ffff,6
892696b93b7ffff,1
892696b822bffff,1
8926960654fffff,1
89269606557ffff,4
89269606407ffff,5
892696065bbffff,7
892696a91d7ffff,12
892696a9543ffff,6
892696a952bffff,3
892696aa023ffff,2
892696141dbffff,1
89269616a57ffff,1
89269616ad3ffff,7
89269607447ffff,3
8926960298fffff,2
892696075cbffff,1
89269607403ffff,1
892696074b7ffff,1
8926960758fffff,4
89269615b5bffff,1
892696066d7ffff,1
8926961598fffff,10
8926961599bffff,3
89269615937ffff,3
892696159afffff,7
892696159a3ffff,18
89269614a4bffff,6
89269614a0bffff,5
89269615c3bffff,3
89269615c03ffff,1
89269615c87ffff,1
8926961422bffff,10
8926961420fffff,3
89269614353ffff,10
892696143d3ffff,4
892696a965bffff,4
892696064bbffff,11
89269614b4bffff,2
89269614b43ffff,9
89269614b53ffff,2
89269614bc3ffff,7
89269614bdbffff,6
89269614aa7ffff,11
89269614b33ffff,13
892696a96cfffff,1
892696a904bffff,1
892696a90afffff,2
892696a90d7ffff,23
892696a946fffff,41
892696a954bffff,3
89269614973ffff,1
8926961492fffff,8
892696a94afffff,6
892696a94d3ffff,11
892696a9483ffff,34
8926961481bffff,3
89269614807ffff,8
892696148bbffff,5
89269614eb7ffff,1
89269614cb7ffff,3
8926961491bffff,2
89269614d2fffff,5
892696ab28fffff,27
89269614d1bffff,2
89269616b27ffff,5
892696a953bffff,1
892696a820bffff,21
892696a82dbffff,15
892696a9517ffff,1
892696ab367ffff,26
892696a9597ffff,32
892696ab323ffff,1
892696a86cfffff,2
892696ab16fffff,8
892696a83c3ffff,8
892696a82b3ffff,2
892696a862fffff,4
892696a86a3ffff,24
892696a868fffff,1
892696a86b3ffff,2
892696ab06fffff,4
892696ab04fffff,7
892696ab047ffff,12
892696ab00bffff,73
892696ab113ffff,1
892696ab6afffff,30
892696ab6a7ffff,50
892696ab083ffff,22
892696ab43bffff,1
892696ab54fffff,29
892696ab577ffff,13
892696ab557ffff,1
892696ab5c3ffff,1
892696a84d7ffff,2
892696aa223ffff,2
892696ab533ffff,11
89269616bd7ffff,5
89269616b87ffff,2
89269616837ffff,1
89269616bb7ffff,4
89269616943ffff,1
89269616803ffff,1
892696161d7ffff,1
89269616183ffff,3
892696b92cbffff,14
892696b91cfffff,1
8926960651bffff,4
892696065afffff,27
89269606583ffff,2
892696ab6abffff,43
892696ab6d7ffff,11
892696a90a7ffff,1
892696a918bffff,20
892696a9523ffff,2
892696a950bffff,1
8926961456bffff,1
892696076c7ffff,2
89269602bb3ffff,9
89269607697ffff,1
892696060c3ffff,2
89269606403ffff,3
8926961592bffff,2
892696159d7ffff,6
8926961591bffff,3
892696064dbffff,4
892696064d3ffff,2
89269615e77ffff,1
89269615cc7ffff,1
89269614247ffff,2
89269615d77ffff,2
89269615dbbffff,1
